Most Popular Baby Names for Your Requested Year

Gender		Name		Rank
Female		Deidra		819
Female		Deidre		630
Male		Deion		751
Female		Deja		740
Male		Dejon		977
Male		Dejuan		938
Female		Delaney		707
Female		Delia		968
Male		Demarco		774
Male		Demarcus	469
Male		Demario		782
Male		Demetri		778
Female		Demetria	888
Male		Demetrius	281
Female		Demi		636
Female		Denise		188
Male		Dennis		150
Male		Denver		992
Male		Denzel		330
Male		Denzell		832
Male		Deon		527
Male		Deonta		839
Male		Deonte		523
Male		Dequan		874
Male		Dereck		919
Male		Derek		62
Male		Derick		486
Male		Derik		904
Male		Deron		969
Male		Derrick		120
Male		Deshaun		950
Male		Deshawn		444
Female		Desirae		477
Female		Desiree		121
Male		Desmond		265
Female		Destinee	553
Female		Destini		964
Female		Destiny		129
Female		Devan		629
Male		Devan		397
Male		Devante		199
Male		Deven		604
Female		Devin		273
Male		Devin		75
Female		Devon		301
Male		Devon		123
Male		Devonta		569
Male		Devontae	708
Male		Devonte		226
Female		Devyn		760
Male		Dewayne		662
Male		Dexter		474
Female		Diamond		219
Female		Diana		101
Female		Diane		414
Female		Dianna		729
Male		Diego		301
Male		Dillan		553
Male		Dillion		539
Male		Dillon		73
Male		Dimitri		502
Female		Dina		809
Male		Dion		528
Male		Dionte		825
Male		Domenic		999
Male		Domingo		923
Male		Dominic		137
Male		Dominick	317
Female		Dominique	116
Male		Dominique	180
Female		Dominque	810
Male		Dominque	674
Female		Domonique	716
Male		Domonique	901
Male		Don			602
Male		Donald		110
Male		Donavan		704
Male		Donavon		1000
Male		Dondre		854
Female		Donna		377
Male		Donnell		723
Male		Donnie		641
Male		Donovan		243
Male		Donta		970
Male		Dontae		815
Male		Donte		421
Female		Dora		980
Male		Dorian		524
Female		Doris		883
Female		Dorothy		484
Male		Douglas		126
Male		Drake		425
Male		Drew		181
Male		Duane		563
Female		Dulce		648
Male		Duncan		642
Male		Dustin		58
Male		Dusty		884
Male		Dwayne		352
Male		Dwight		495
Male		Dylan		28
Male		Dyllan		807
Male		Dylon		643
Male		Earl		458
Male		Earnest		909
Female		Eboni		824
Female		Ebony		213
Male		Eddie		259
Male		Eddy		819
Female		Eden		697
Male		Edgar		149
Male		Edgardo		692
Female		Edith		554
Male		Edmund		880
Male		Eduardo		132
Male		Edward		70
Male		Edwin		177
Male		Efrain		521
Male		Efren		826
Female		Eileen		579
Female		Elaina		766
Female		Elaine		417
Female		Eleanor		585
Female		Elena		337
Male		Eli			350
Female		Eliana		916
Male		Elias		341
Male		Elijah		203
Female		Elisa		457
Female		Elisabeth	341
Female		Elise		297
Male		Eliseo		910
Female		Elisha		724
Male		Elisha		902
Female		Elissa		727
Female		Eliza		661
Female		Elizabeth	9
Female		Ella		892
Female		Ellen		217
Female		Ellie		855
Male		Elliot		404
Male		Elliott		399
Male		Ellis		765
Male		Elmer		687
Female		Elsa		867
Male		Elvin		924
Male		Elvis		750
Female		Elyse		669
Male		Emanuel		365
Female		Emerald		917
Male		Emerson		993
Female		Emilee		501
Female		Emilia		934
Female		Emilie		591
Male		Emilio		386
Female		Emily		7
Female		Emma		104
Male		Emmanuel	224
Male		Emmett		803
Male		Enrique		271
Male		Eric		26
Female		Erica		44
Male		Erich		730
Male		Erick		222
Female		Ericka		380
Male		Erik		98
Female		Erika		80
Female		Erin		46
Male		Erin		796
Male		Ernest		337
Male		Ernesto		313
Male		Ervin		735
Male		Erwin		978
Female		Esmeralda	403
Female		Essence		876
Male		Esteban		389
Female		Estefania	722
Male		Estevan		685
Female		Esther		302
Male		Ethan		76
Male		Eugene		338
Female		Eunice		904
Female		Eva			340
Male		Evan		66
Female		Evelyn		202
Male		Everett		594
Male		Ezekiel		636
Male		Ezequiel	787
Male		Ezra		793
Male		Fabian		339
Female		Fabiola		767
Female		Faith		245
Female		Fallon		843
Female		Fatima		627
Female		Felicia		146
Male		Felipe		414
Female		Felisha		829
Male		Felix		346
Male		Fernando	170
Male		Fidel		840
Female		Flor		941
Male		Floyd		740
Male		Forest		820
Male		Forrest		316
Female		Frances		388
Female		Francesca	373
Male		Francis		318
Male		Francisco	118
Male		Frank		125
Male		Frankie		556
Male		Franklin	311
Male		Fred		573
Male		Freddie		619
Male		Freddy		525
Male		Frederick	275
Male		Fredrick	507
Female		Gabriel		851
Male		Gabriel		86
Female		Gabriela	139
Female		Gabriella	209
Female		Gabrielle	84
Male		Gage		335
Male		Galen		866
Male		Garett		932
Male		Garret		442
Male		Garrett		88
Male		Garrick		920
Male		Garrison	892
Male		Garry		810
Male		Garth		659
Male		Gary		139
Male		Gavin		266
Male		Gene		655
Female		Genesis		375
Female		Geneva		935
Female		Genevieve	521
Male		Geoffrey	312
Male		George		95
Female		Georgia		594
Female		Georgina	952
